"Timestamp","TZ","IOKI 1 (A)","IOKI 1_AV (A)","IOKI 1_MN (A)","IOKI 1_MX (A)","IOKI 1_SD (A)","IOKI 1_NUM (A)","IOKI 1_INT (A)","IOKI 1_IMN (A)","IOKI 1_IMX (A)","IOKI 2 (mV)","IOKI 2_AV (mV)","IOKI 2_MN (mV)","IOKI 2_MX (mV)","IOKI 2_SD (mV)","IOKI 2_NUM (mV)","IOKI 2_INT (mV)","IOKI 2_IMN (mV)","IOKI 2_IMX (mV)","K-type (degC)","K-type_AV (degC)","K-type_MN (degC)","K-type_MX (degC)","K-type_SD (degC)","K-type_NUM (degC)","K-type_INT (degC)","K-type_IMN (degC)","K-type_IMX (degC)"
2025/01/31 09:06:10.237,n,35.900496,35.8303,34.4192,37.384136,1.026028,10,358.7622,2025/01/31 09:06:09.002,2025/01/31 09:06:08.002,35.803144,35.895204,32.808364,39.360856,2.029888,10,359.35116,2025/01/31 09:06:05.002,2025/01/31 09:06:06.002,6.865789,6.838063,6.826176,6.865789,0.010894,10,68.3878,2025/01/31 09:06:07.006,2025/01/31 09:06:10.005
2025/01/31 09:06:20.224,n,36.1006,35.495172,33.126266,36.901288,1.13556,10,354.6346,2025/01/31 09:06:18.226,2025/01/31 09:06:14.002,36.444868,36.14628,33.863996,38.121904,1.272966,10,361.187,2025/01/31 09:06:15.002,2025/01/31 09:06:16.008,6.851523,6.853926,6.825104,6.883422,0.016158,10,68.523576,2025/01/31 09:06:16.008,2025/01/31 09:06:14.002
2025/01/31 09:06:30.228,n,36.31782,36.091048,34.648816,37.466044,0.997828,10,360.80596,2025/01/31 09:06:21.002,2025/01/31 09:06:25.002,34.89558,36.008012,34.363512,38.113232,1.340516,10,360.85628,2025/01/31 09:06:25.002,2025/01/31 09:06:26.007,6.887807,6.868556,6.842679,6.887807,0.014264,10,68.66824,2025/01/31 09:06:23.008,2025/01/31 09:06:30.002
2025/01/31 09:06:40.479,n,37.830152,35.856176,32.346386,38.530988,2.156678,10,357.77696,2025/01/31 09:06:34.002,2025/01/31 09:06:37.002,35.44078,35.474188,32.545086,37.427476,1.323819,10,354.4438,2025/01/31 09:06:35.012,2025/01/31 09:06:33.002,6.904364,6.883101,6.84929,6.90544,0.018414,10,68.819368,2025/01/31 09:06:35.012,2025/01/31 09:06:38.004
2025/01/31 09:06:50.233,n,35.567728,35.153436,30.852582,38.352524,2.337561,10,352.67848,2025/01/31 09:06:49.002,2025/01/31 09:06:42.002,36.462232,36.245436,33.628428,38.194352,1.303333,10,361.94444,2025/01/31 09:06:48.007,2025/01/31 09:06:46.007,6.897932,6.902165,6.883422,6.925237,0.015185,10,69.025008,2025/01/31 09:06:46.007,2025/01/31 09:06:44.002
2025/01/31 09:07:00.235,n,38.20222,35.23948,33.367844,38.20222,1.392759,10,351.1666,2025/01/31 09:06:59.002,2025/01/31 09:07:00.004,34.334856,36.253592,33.727524,38.343884,1.425904,10,363.5654,2025/01/31 09:06:56.002,2025/01/31 09:06:55.002,6.914246,6.90676,6.877946,6.924161,0.013532,10,69.074384,2025/01/31 09:06:57.091,2025/01/31 09:06:51.007
2025/01/31 09:07:10.240,n,38.523936,35.850584,33.741892,39.55876,1.861059,10,359.06236,2025/01/31 09:07:09.002,2025/01/31 09:07:07.002,35.66368,35.214092,32.331952,37.624188,1.716255,10,351.1212,2025/01/31 09:07:07.002,2025/01/31 09:07:03.003,6.904328,6.893805,6.866904,6.920833,0.016877,10,68.964816,2025/01/31 09:07:04.002,2025/01/31 09:07:03.003
2025/01/31 09:07:20.226,n,34.624188,35.4925,33.23872,38.259688,1.72121,10,356.70204,2025/01/31 09:07:18.002,2025/01/31 09:07:15.002,37.535288,35.859212,33.564496,40.14192,2.082448,10,357.49112,2025/01/31 09:07:17.002,2025/01/31 09:07:18.002,6.925237,6.899813,6.876786,6.925237,0.013406,10,68.954728,2025/01/31 09:07:15.002,2025/01/31 09:07:20.002
2025/01/31 09:07:30.463,n,36.955028,36.469016,35.137312,37.792436,0.841368,10,363.52852,2025/01/31 09:07:25.004,2025/01/31 09:07:27.002,35.891004,35.743568,33.4817,38.959396,1.990183,10,358.24804,2025/01/31 09:07:27.002,2025/01/31 09:07:28.004,6.930939,6.906138,6.866904,6.935151,0.023438,10,69.058544,2025/01/31 09:07:25.004,2025/01/31 09:07:27.002
2025/01/31 09:07:40.233,n,32.462596,35.787576,32.462596,38.225052,1.976149,10,360.08104,2025/01/31 09:07:40.002,2025/01/31 09:07:31.002,36.27522,36.161024,33.578044,39.08864,1.726058,10,361.4676,2025/01/31 09:07:37.002,2025/01/31 09:07:33.002,6.925237,6.910602,6.882347,6.937352,0.017662,10,69.10572,2025/01/31 09:07:39.003,2025/01/31 09:07:31.002
